cycle_number,c_rate,voltage_mean,voltage_std,current_mean,temperature_mean,discharge_capacity,soh
402,0.5,3.8353,0.1722,2.4325,26.82,4.7167,0.940255
403,0.5,3.8375,0.1792,2.406,25.95,4.7052,0.940359
404,0.5,3.8389,0.1833,2.3316,25.75,4.7086,0.9418
405,0.5,3.8326,0.1777,2.4619,26.67,4.6957,0.939805
406,0.5,3.8282,0.1766,2.3771,25.9,4.7054,0.941829
407,0.5,3.8235,0.1696,2.5276,26.83,4.7191,0.94106
408,0.5,3.8218,0.1794,2.379,26.76,4.6968,0.939827
409,0.5,3.818,0.1738,2.3439,26.07,4.6942,0.940264
410,0.5,3.8225,0.1787,2.4041,27.16,4.713,0.941658
411,0.5,3.8326,0.1715,2.4394,26.79,4.7138,0.94098
412,0.5,3.8339,0.1769,2.4575,26.44,4.724,0.940068
413,0.5,3.83,0.1816,2.3268,25.73,4.7144,0.939974
414,0.5,3.8204,0.1868,2.5476,26.77,4.6891,0.93935
415,0.5,3.8232,0.1778,2.3527,26.85,4.6811,0.940067
416,0.5,3.8225,0.1851,2.2257,26.08,4.7108,0.940531
417,0.5,3.8351,0.1796,2.4075,26.28,4.7107,0.940195
418,0.5,3.8162,0.1739,2.6451,26.12,4.7128,0.940071
419,0.5,3.831,0.181,2.4023,25.76,4.6924,0.93898
420,0.5,3.828,0.1669,2.3274,26.59,4.6922,0.940135
421,0.5,3.831,0.1763,2.4431,27.92,4.7066,0.940364
422,0.5,3.848,0.1722,2.3987,26.73,4.6934,0.940538
423,0.5,3.8233,0.1763,2.4491,25.97,4.7122,0.940603
424,0.5,3.8189,0.1721,2.3251,26.46,4.6906,0.938731
425,0.5,3.8151,0.1745,2.458,26.65,4.7325,0.942332
426,0.5,3.8443,0.1805,2.2588,25.49,4.6966,0.938249
427,0.5,3.828,0.1835,2.2414,26.43,4.6865,0.937128
428,0.5,3.8171,0.1763,2.2473,26.56,4.7004,0.938768
429,0.5,3.8278,0.1706,2.3212,26.32,4.7019,0.940482
430,0.5,3.8434,0.1823,2.3835,25.88,4.7285,0.942174
431,0.5,3.8264,0.1842,2.4593,26.63,4.693,0.939855
432,0.5,3.8175,0.1783,2.469,26.34,4.6859,0.938093
433,0.5,3.8349,0.167,2.2876,26.47,4.6986,0.9393
434,0.5,3.8086,0.181,2.2876,26.19,4.6905,0.940473
435,0.5,3.8198,0.1674,2.4362,26.35,4.7056,0.938578
436,0.5,3.8248,0.178,2.4093,25.87,4.7056,0.939784
437,0.5,3.8302,0.1858,2.4163,26.48,4.6995,0.938329
438,0.5,3.8304,0.174,2.488,27.15,4.7024,0.939077
439,0.5,3.8288,0.1808,2.3659,26.2,4.6955,0.938481
440,0.5,3.8293,0.1825,2.2481,26.98,4.7067,0.940554
441,0.5,3.819,0.1746,2.2425,26.34,4.6951,0.940594
442,0.5,3.8258,0.183,2.2551,25.74,4.7069,0.938345
443,0.5,3.8197,0.1825,2.2387,26.96,4.7047,0.939157
444,0.5,3.8142,0.1739,2.4066,26.73,4.6843,0.938749
445,0.5,3.8347,0.1721,2.4027,25.77,4.7011,0.938971
446,0.5,3.8278,0.176,2.2435,26.74,4.6691,0.937742
447,0.5,3.8269,0.1771,2.4147,25.67,4.6906,0.938719
448,0.5,3.8287,0.1802,2.3919,26.82,4.6745,0.937971
449,0.5,3.816,0.1771,2.3435,26.76,4.6936,0.938989
450,0.5,3.8366,0.1719,2.4084,27.17,4.7058,0.938497
451,0.5,3.8459,0.1836,2.3711,27.0,4.7029,0.938481
452,0.5,3.822,0.1864,2.2636,26.47,4.7062,0.938171
453,0.5,3.8294,0.168,2.4087,25.76,4.7011,0.938457
454,0.5,3.8444,0.1763,2.2374,26.52,4.7013,0.937297
455,0.5,3.8369,0.1848,2.2752,26.46,4.6941,0.939783
456,0.5,3.8318,0.1739,2.5462,27.3,4.6896,0.938983
457,0.5,3.8404,0.1831,2.3849,26.63,4.6914,0.937349
458,0.5,3.7998,0.1772,2.3683,26.74,4.6768,0.93766
459,0.5,3.8429,0.1865,2.2983,26.36,4.6882,0.937934
460,0.5,3.8269,0.175,2.2305,26.24,4.6933,0.937406
461,0.5,3.8344,0.1754,2.3704,26.06,4.6984,0.938042
462,0.5,3.8197,0.1778,2.3227,26.69,4.6791,0.937311
463,0.5,3.8198,0.1774,2.3171,25.69,4.6831,0.9371
464,0.5,3.8335,0.1756,2.2225,26.71,4.6753,0.937147
465,0.5,3.8166,0.1725,2.296,26.29,4.6851,0.936654
466,0.5,3.821,0.1741,2.341,26.19,4.6799,0.937669
467,0.5,3.8215,0.1802,2.3623,25.58,4.7148,0.937579
468,0.5,3.8239,0.1699,2.3352,25.97,4.6781,0.937288
469,0.5,3.8241,0.1755,2.5184,26.2,4.6857,0.937787
470,0.5,3.8307,0.1803,2.386,26.88,4.6739,0.938637
471,0.5,3.8237,0.172,2.3359,26.9,4.6993,0.936458
472,0.5,3.8348,0.1768,2.1744,26.45,4.6803,0.937917
473,0.5,3.8231,0.1771,2.5358,26.34,4.7071,0.938166
474,0.5,3.829,0.1708,2.4946,26.4,4.6821,0.938754
475,0.5,3.8185,0.1748,2.2809,25.93,4.678,0.936686
476,0.5,3.8126,0.1803,2.4614,26.9,4.6741,0.935854
477,0.5,3.8353,0.1803,2.2859,26.37,4.6829,0.935617
478,0.5,3.8272,0.1779,2.2541,26.82,4.667,0.935166
479,0.5,3.818,0.1813,2.1331,27.1,4.6778,0.936737
480,0.5,3.8145,0.1758,2.3695,26.03,4.6786,0.936104
481,0.5,3.816,0.1821,2.0598,25.43,4.6642,0.933831
482,0.5,3.8195,0.1813,2.3528,27.18,4.6561,0.935476
483,0.5,3.8294,0.1986,2.1333,26.6,4.7008,0.936704
484,0.5,3.823,0.1772,2.282,26.63,4.6812,0.935582
485,0.5,3.8183,0.1741,2.2907,26.87,4.684,0.934286
486,0.5,3.8159,0.1832,2.4066,26.67,4.6945,0.935202
487,0.5,3.8244,0.1858,2.2669,26.83,4.6849,0.935496
488,0.5,3.8242,0.1806,2.3269,26.46,4.6792,0.935411
489,0.5,3.8334,0.1766,2.2539,26.99,4.6951,0.937117
490,0.5,3.818,0.1779,2.1769,27.23,4.6778,0.936349
491,0.5,3.8305,0.1781,2.3734,26.26,4.6705,0.936404
492,0.5,3.8215,0.1712,2.4592,25.0,4.6849,0.935427
493,0.5,3.8141,0.188,2.4326,27.26,4.6763,0.935743
494,0.5,3.8158,0.1761,2.288,25.95,4.6712,0.936346
495,0.5,3.8276,0.1762,2.1589,26.37,4.6845,0.936368
496,0.5,3.8079,0.19,2.4241,26.47,4.6669,0.933167
497,0.5,3.8295,0.1801,2.3671,26.08,4.6941,0.936278
498,0.5,3.807,0.1745,2.3269,26.65,4.6793,0.935681
499,0.5,3.8372,0.1829,2.3416,27.71,4.6666,0.933753
500,0.5,3.8247,0.1736,2.3681,26.54,4.6678,0.933866
1,1.0,3.8372,0.1827,5.0017,28.07,4.9327,0.989207
2,1.0,3.8512,0.1713,4.9302,27.73,4.9529,0.98792
3,1.0,3.8308,0.1802,4.7647,27.81,4.8883,0.983322
4,1.0,3.8474,0.1732,4.8677,28.78,4.9204,0.981777
5,1.0,3.8345,0.1788,4.8403,28.32,4.8917,0.978261
6,1.0,3.8351,0.1724,4.8846,28.18,4.8832,0.975746
7,1.0,3.8213,0.1761,4.9418,28.6,4.8823,0.976148
8,1.0,3.8366,0.1675,4.9873,28.63,4.868,0.974281
9,1.0,3.8153,0.1743,4.84,29.12,4.861,0.973768
10,1.0,3.8234,0.1789,4.748,28.09,4.8642,0.973636
11,1.0,3.8257,0.1761,4.7028,28.36,4.8575,0.970847
12,1.0,3.829,0.1822,4.7279,28.53,4.8719,0.970974
13,1.0,3.8172,0.1886,4.9183,29.34,4.8464,0.968165
14,1.0,3.8356,0.1806,4.6382,28.4,4.8238,0.966987
15,1.0,3.8218,0.1865,4.6319,28.68,4.8284,0.9654
16,1.0,3.8192,0.1833,4.7268,28.91,4.826,0.962639
17,1.0,3.8202,0.1836,4.7513,28.83,4.8306,0.964405
18,1.0,3.8139,0.1826,4.6904,29.07,4.8255,0.963951
19,1.0,3.8078,0.1801,4.7785,27.6,4.7965,0.961719
20,1.0,3.8166,0.178,4.9081,28.67,4.8198,0.960651
21,1.0,3.8219,0.1806,4.78,28.24,4.8014,0.958797
22,1.0,3.8159,0.181,4.7731,29.2,4.7817,0.956413
23,1.0,3.8149,0.1855,4.8734,29.29,4.7681,0.955655
24,1.0,3.824,0.1723,4.7748,28.41,4.7787,0.956943
25,1.0,3.8077,0.1796,4.769,28.79,4.7711,0.956004
26,1.0,3.7854,0.1815,4.6738,28.37,4.7614,0.955534
27,1.0,3.8254,0.1858,4.7023,28.61,4.7675,0.952591
28,1.0,3.8005,0.1755,4.7236,28.21,4.7642,0.952522
29,1.0,3.8022,0.1874,4.6285,28.35,4.768,0.952052
30,1.0,3.7956,0.1824,4.8492,28.18,4.7568,0.950329
31,1.0,3.8002,0.1829,4.6795,28.82,4.7708,0.951505
32,1.0,3.8178,0.1946,4.7017,29.01,4.7498,0.948538
33,1.0,3.7956,0.1752,4.8275,28.26,4.7374,0.951237
34,1.0,3.8101,0.1878,4.7613,28.79,4.7519,0.947816
35,1.0,3.7995,0.1902,4.8224,28.23,4.7369,0.946479
36,1.0,3.825,0.1933,4.8129,27.98,4.7572,0.947869
37,1.0,3.7981,0.1903,4.6165,28.31,4.729,0.944294
38,1.0,3.8101,0.1811,4.6483,28.92,4.7455,0.946595
39,1.0,3.8021,0.1763,4.6194,28.56,4.7456,0.945288
40,1.0,3.8141,0.181,4.7311,28.67,4.722,0.942522
41,1.0,3.7878,0.1924,4.6983,30.02,4.7233,0.943116
42,1.0,3.8066,0.1779,4.7746,28.22,4.7173,0.942855
43,1.0,3.8076,0.188,4.6237,29.12,4.7047,0.942371
44,1.0,3.8014,0.1876,4.6208,29.31,4.723,0.942246
45,1.0,3.7941,0.1858,4.7284,29.56,4.7118,0.941058
46,1.0,3.8104,0.1918,4.606,28.16,4.7111,0.939519
47,1.0,3.803,0.1907,4.6151,28.66,4.7016,0.940253
48,1.0,3.7834,0.1966,4.6484,29.03,4.6793,0.936286
49,1.0,3.8139,0.1764,4.8136,28.45,4.6892,0.937172
50,1.0,3.8155,0.1845,4.5645,28.06,4.6912,0.935962
51,1.0,3.8017,0.1838,4.7945,28.13,4.695,0.936882
52,1.0,3.8168,0.1891,4.5641,28.78,4.6868,0.936456
53,1.0,3.7963,0.1909,4.6816,28.1,4.6772,0.937397
54,1.0,3.8006,0.1847,4.5242,29.77,4.6817,0.935826
55,1.0,3.7981,0.1865,4.5668,28.85,4.6844,0.935206
56,1.0,3.8134,0.1925,4.8121,27.84,4.6587,0.934419
57,1.0,3.8003,0.1995,4.7284,28.54,4.6553,0.931549
58,1.0,3.7854,0.1988,4.6281,29.23,4.6724,0.931302
59,1.0,3.7907,0.1886,4.705,28.55,4.6629,0.932427
60,1.0,3.7952,0.1802,4.6987,28.54,4.6431,0.930578
61,1.0,3.7756,0.1844,4.5763,27.78,4.6668,0.929447
62,1.0,3.7976,0.1918,4.6398,28.71,4.6356,0.929508
63,1.0,3.7779,0.1856,4.6266,29.53,4.645,0.930923
64,1.0,3.8152,0.1971,4.6684,28.26,4.6574,0.92942
65,1.0,3.7854,0.1916,4.7335,28.35,4.6487,0.929467
66,1.0,3.7902,0.1918,4.8284,28.23,4.6173,0.926235
67,1.0,3.8149,0.1896,4.688,29.38,4.6446,0.927773
68,1.0,3.7959,0.1793,4.7028,28.59,4.6359,0.926922
69,1.0,3.784,0.1902,4.829,29.66,4.6215,0.925967
70,1.0,3.7985,0.1935,4.4963,28.57,4.6202,0.925107
71,1.0,3.7939,0.1947,4.445,28.6,4.6332,0.924521
72,1.0,3.7943,0.1981,4.6709,29.34,4.6377,0.924855
73,1.0,3.8124,0.1971,4.6804,28.6,4.6103,0.924603
74,1.0,3.7893,0.1902,4.6255,28.79,4.6273,0.922274
75,1.0,3.7879,0.1889,4.5799,28.08,4.6146,0.923743
76,1.0,3.7864,0.1906,4.3173,28.02,4.6308,0.922059
77,1.0,3.7887,0.1872,4.7852,28.47,4.6346,0.923117
78,1.0,3.7891,0.1868,4.5672,29.17,4.6097,0.92168
79,1.0,3.7855,0.1934,4.6081,28.55,4.5922,0.920568
80,1.0,3.7956,0.1835,4.7144,28.02,4.6129,0.919807
81,1.0,3.7822,0.1938,4.4976,27.36,4.5935,0.919727
82,1.0,3.7776,0.1857,4.5726,29.0,4.6032,0.921067
83,1.0,3.7908,0.2038,4.6793,28.4,4.5972,0.919544
84,1.0,3.7965,0.1913,4.5964,28.49,4.5924,0.918378
85,1.0,3.7873,0.1944,4.6379,27.98,4.5825,0.917576
86,1.0,3.8022,0.1856,4.6376,28.23,4.5988,0.918818
87,1.0,3.7959,0.184,4.6319,28.89,4.5567,0.916324
88,1.0,3.7767,0.1894,4.5586,29.49,4.5991,0.915679
89,1.0,3.7964,0.205,4.5614,28.15,4.5593,0.914341
90,1.0,3.791,0.1906,4.5841,29.48,4.5874,0.917799
91,1.0,3.7912,0.1899,4.7155,29.41,4.581,0.915567
92,1.0,3.7713,0.1952,4.5241,29.42,4.5616,0.915459
93,1.0,3.7633,0.1954,4.6373,29.94,4.5745,0.914656
94,1.0,3.7833,0.1921,4.3497,28.04,4.5806,0.913737
95,1.0,3.7838,0.2011,4.5942,28.72,4.5808,0.914351
96,1.0,3.7833,0.1972,4.4362,29.35,4.5661,0.912641
97,1.0,3.7712,0.1912,4.7707,28.37,4.5716,0.911654
98,1.0,3.7819,0.1893,4.5002,28.08,4.5606,0.913957
99,1.0,3.7909,0.1992,4.7945,28.5,4.5493,0.912828
100,1.0,3.7702,0.2013,4.5956,29.27,4.5597,0.912402
101,1.0,3.7984,0.197,4.6276,28.34,4.5415,0.909876
102,1.0,3.7641,0.1951,4.5508,29.24,4.5485,0.909479
103,1.0,3.7846,0.2008,4.4496,28.9,4.5454,0.909641
104,1.0,3.7647,0.1986,4.3551,29.16,4.5534,0.910578
105,1.0,3.7703,0.2006,4.4,28.24,4.5479,0.910847
106,1.0,3.7749,0.201,4.5877,28.39,4.5482,0.909113
107,1.0,3.775,0.2,4.489,28.9,4.5369,0.907747
108,1.0,3.7672,0.1924,4.5592,28.7,4.5355,0.906667
109,1.0,3.7805,0.2003,4.5845,28.5,4.5318,0.908014
110,1.0,3.7756,0.1875,4.5508,28.9,4.5569,0.906956
111,1.0,3.7786,0.1998,4.6494,28.36,4.5175,0.906023
112,1.0,3.7739,0.1997,4.6364,29.02,4.5422,0.906694
113,1.0,3.7729,0.199,4.5293,29.14,4.5205,0.904401
114,1.0,3.7639,0.1961,4.5495,28.69,4.5439,0.906319
115,1.0,3.7991,0.1997,4.6541,28.3,4.5251,0.905315
116,1.0,3.786,0.2038,4.6114,29.15,4.521,0.904832
117,1.0,3.782,0.1979,4.6231,28.9,4.5311,0.903315
118,1.0,3.7706,0.2008,4.4603,28.32,4.5263,0.90256
119,1.0,3.7584,0.1924,4.5456,28.76,4.4961,0.903493
120,1.0,3.8054,0.2104,4.5002,28.66,4.5173,0.903675
121,1.0,3.7562,0.1901,4.4541,29.59,4.5221,0.903253
122,1.0,3.7599,0.1877,4.5976,29.28,4.5035,0.902351
123,1.0,3.7775,0.1996,4.4514,28.82,4.4956,0.899434
124,1.0,3.7634,0.2024,4.5356,28.07,4.5051,0.900683
125,1.0,3.748,0.201,4.6412,28.66,4.4836,0.89966
126,1.0,3.7823,0.1979,4.4291,28.92,4.4787,0.899673
127,1.0,3.7727,0.1999,4.532,29.78,4.4997,0.899967
128,1.0,3.7712,0.2005,4.3957,29.17,4.5063,0.898657
129,1.0,3.7798,0.1976,4.4205,28.48,4.4911,0.899743
130,1.0,3.7492,0.1948,4.277,29.0,4.4837,0.896917
131,1.0,3.7581,0.1947,4.5372,28.6,4.4852,0.898148
132,1.0,3.7704,0.207,4.5498,28.32,4.487,0.898228
133,1.0,3.7683,0.199,4.4725,28.65,4.491,0.897782
134,1.0,3.753,0.1932,4.359,28.26,4.4823,0.896147
135,1.0,3.767,0.1914,4.5448,29.03,4.4874,0.895865
136,1.0,3.7577,0.2019,4.3505,28.98,4.459,0.895382
137,1.0,3.7625,0.1954,4.4381,28.71,4.4808,0.895613
138,1.0,3.7598,0.2072,4.3602,28.87,4.4827,0.895572
139,1.0,3.7651,0.1984,4.5857,29.02,4.4679,0.896421
140,1.0,3.7775,0.2037,4.3727,28.58,4.4664,0.893893
141,1.0,3.7749,0.195,4.6302,28.43,4.4777,0.893874
142,1.0,3.7647,0.1943,4.4236,28.55,4.481,0.895206
143,1.0,3.7624,0.2007,4.3356,28.23,4.4811,0.895039
144,1.0,3.7596,0.1983,4.4625,28.69,4.4611,0.892648
145,1.0,3.7673,0.2105,4.4771,28.43,4.4731,0.89263
146,1.0,3.752,0.1952,4.3823,28.87,4.4681,0.891244
147,1.0,3.7492,0.2011,4.4963,28.92,4.4678,0.893217
148,1.0,3.7614,0.2057,4.2307,28.35,4.4487,0.890057
149,1.0,3.7703,0.2054,4.3784,29.22,4.4393,0.891679
150,1.0,3.7766,0.2063,4.4968,29.3,4.4577,0.89078
151,1.0,3.7789,0.1982,4.6128,28.74,4.4481,0.890255
152,1.0,3.7693,0.1988,4.3174,28.1,4.4611,0.891775
153,1.0,3.7479,0.2022,4.4468,28.38,4.461,0.8911
154,1.0,3.7811,0.2039,4.4188,28.78,4.4373,0.890681
155,1.0,3.7709,0.2056,4.3276,28.64,4.4473,0.889111
156,1.0,3.7706,0.2069,4.4545,29.58,4.4523,0.889689
157,1.0,3.7584,0.1992,4.4875,28.15,4.4619,0.889912
158,1.0,3.756,0.2083,4.4923,27.62,4.4428,0.887712
159,1.0,3.7653,0.1995,4.6568,28.18,4.4441,0.887676
160,1.0,3.7587,0.2027,4.5468,28.51,4.437,0.887023
161,1.0,3.7597,0.2079,4.3718,29.77,4.4362,0.886522
162,1.0,3.7799,0.2103,4.3964,27.88,4.4251,0.887215
163,1.0,3.7631,0.2049,4.4851,28.87,4.449,0.886903
164,1.0,3.773,0.2122,4.7491,28.3,4.4226,0.886776
165,1.0,3.7644,0.2014,4.6229,27.79,4.4228,0.886104
166,1.0,3.7373,0.2086,4.2126,28.6,4.4194,0.883827
167,1.0,3.7729,0.2069,4.3291,28.67,4.4152,0.883094
168,1.0,3.7442,0.2075,4.1538,29.07,4.4179,0.884846
169,1.0,3.7574,0.1978,4.3215,29.15,4.422,0.883998
170,1.0,3.7524,0.2083,4.3686,28.55,4.4194,0.884066
171,1.0,3.7403,0.2081,4.362,28.13,4.4267,0.885975
172,1.0,3.7721,0.2092,4.4996,28.71,4.3993,0.882684
173,1.0,3.7475,0.2102,4.4616,27.43,4.4077,0.881976
174,1.0,3.7583,0.209,4.2522,28.5,4.4168,0.882767
175,1.0,3.7637,0.2191,4.4065,28.64,4.4209,0.883386
176,1.0,3.7597,0.2066,4.3049,28.94,4.409,0.88138
177,1.0,3.7662,0.2038,4.4912,29.08,4.419,0.883246
178,1.0,3.7445,0.2027,4.4214,29.02,4.4055,0.880499
179,1.0,3.7597,0.2025,4.2459,29.38,4.3982,0.879928
180,1.0,3.7506,0.1959,4.3629,28.92,4.3986,0.88034
181,1.0,3.7717,0.1961,4.5366,28.51,4.4032,0.881089
182,1.0,3.7662,0.2038,4.2951,28.9,4.4191,0.880985
183,1.0,3.7661,0.2009,4.458,28.98,4.3925,0.879683
184,1.0,3.7385,0.2023,4.5318,28.9,4.4055,0.879337
185,1.0,3.7503,0.2131,4.3754,28.99,4.3977,0.879079
186,1.0,3.7696,0.1984,4.5628,28.48,4.3961,0.879961
187,1.0,3.748,0.2013,4.3305,27.93,4.3899,0.878247
188,1.0,3.7564,0.2008,4.3075,28.98,4.4136,0.879123
189,1.0,3.7493,0.2069,4.4926,29.71,4.3983,0.877107
190,1.0,3.7514,0.2085,4.4762,28.69,4.3871,0.877408
191,1.0,3.7561,0.2082,4.2372,29.7,4.3628,0.877816
192,1.0,3.7467,0.208,4.3803,28.84,4.3976,0.877265
193,1.0,3.7612,0.2059,4.4359,28.51,4.3784,0.876642
194,1.0,3.7506,0.2097,4.3511,28.93,4.3596,0.875587
195,1.0,3.7474,0.2061,4.4761,29.29,4.3703,0.875485
196,1.0,3.7444,0.203,4.3528,28.81,4.3752,0.874058
197,1.0,3.7684,0.2057,4.4042,29.05,4.3713,0.875274
198,1.0,3.7445,0.2096,4.6055,28.6,4.3634,0.874121
199,1.0,3.7533,0.209,4.4996,28.87,4.3469,0.874235
200,1.0,3.7585,0.2006,4.059,28.65,4.3655,0.871951
201,1.0,3.7396,0.2029,4.3824,28.36,4.3651,0.874267
202,1.0,3.7408,0.2021,4.3454,27.48,4.3656,0.874205
203,1.0,3.7498,0.2105,4.5566,27.98,4.3662,0.874196
204,1.0,3.7248,0.2122,4.3665,28.01,4.3788,0.873411
205,1.0,3.7658,0.2107,4.3847,29.17,4.3571,0.871403
206,1.0,3.7406,0.2113,4.1982,29.59,4.3427,0.870896
207,1.0,3.7634,0.2075,4.1838,28.74,4.3769,0.873592
208,1.0,3.7473,0.2009,4.3727,29.27,4.3783,0.871259
209,1.0,3.7584,0.2094,4.3811,28.89,4.3493,0.872034
210,1.0,3.7388,0.2157,4.3482,29.44,4.3485,0.871468
211,1.0,3.7551,0.207,4.3536,28.78,4.3646,0.871926
212,1.0,3.7355,0.2134,4.3414,27.93,4.3493,0.870913
213,1.0,3.7249,0.2088,4.285,28.39,4.3351,0.868959
214,1.0,3.7669,0.2015,4.4657,29.11,4.3595,0.869946
215,1.0,3.7406,0.2102,4.4956,29.03,4.3507,0.868931
216,1.0,3.7311,0.208,4.4702,28.72,4.3343,0.869916
217,1.0,3.7346,0.2056,4.2979,29.0,4.3266,0.868051
218,1.0,3.7312,0.2017,4.2761,29.29,4.3465,0.86783
219,1.0,3.7451,0.2008,4.391,28.71,4.3454,0.868307
220,1.0,3.733,0.2153,4.3544,29.44,4.3356,0.867795
221,1.0,3.7565,0.2043,4.2632,28.89,4.3498,0.867885
222,1.0,3.7606,0.2079,4.4032,29.39,4.3235,0.867011
223,1.0,3.7492,0.2064,4.1742,29.05,4.3453,0.868063
224,1.0,3.7514,0.2115,4.5196,28.79,4.335,0.864948
225,1.0,3.7424,0.2023,4.2363,28.96,4.3247,0.866061
226,1.0,3.739,0.2023,4.3623,28.98,4.3291,0.864383
227,1.0,3.749,0.2135,4.3625,28.79,4.3235,0.866351
228,1.0,3.7369,0.2207,4.278,29.55,4.3309,0.866106
229,1.0,3.7245,0.2078,4.2151,29.07,4.3257,0.864863
230,1.0,3.7193,0.2203,4.3607,29.28,4.3234,0.866236
231,1.0,3.7354,0.2115,4.2648,29.05,4.3215,0.865106
232,1.0,3.7426,0.2137,4.3713,28.25,4.3281,0.863971
233,1.0,3.7501,0.2038,4.2334,28.7,4.3138,0.86469
234,1.0,3.747,0.2158,4.2378,29.44,4.3293,0.865155
235,1.0,3.7398,0.209,4.3724,29.39,4.3271,0.86366
236,1.0,3.7297,0.1987,4.3342,28.94,4.3202,0.862827
237,1.0,3.7373,0.1999,4.4543,28.0,4.3065,0.863469
238,1.0,3.7323,0.2051,4.3559,29.45,4.3124,0.864174
239,1.0,3.7224,0.2,4.3363,28.74,4.3081,0.862733
240,1.0,3.7512,0.2101,4.2749,29.33,4.314,0.86179
241,1.0,3.7441,0.2152,4.1098,29.09,4.2959,0.8607
242,1.0,3.7435,0.2192,4.255,29.03,4.2995,0.860893
243,1.0,3.7528,0.2127,4.1975,29.13,4.2998,0.862636
244,1.0,3.7496,0.2214,4.3826,29.32,4.3099,0.85965
245,1.0,3.7468,0.214,4.3124,28.41,4.3056,0.860337
246,1.0,3.7517,0.2144,4.3894,29.63,4.3099,0.860957
247,1.0,3.724,0.2173,4.18,29.37,4.3023,0.859889
248,1.0,3.737,0.2043,4.3382,29.27,4.2903,0.859223
249,1.0,3.7425,0.207,4.2444,29.0,4.2988,0.860667
250,1.0,3.7302,0.2173,4.0848,29.84,4.2899,0.860362
251,1.0,3.7208,0.2146,4.2699,28.33,4.2951,0.858265
252,1.0,3.7443,0.2118,4.1795,29.14,4.3088,0.859635
253,1.0,3.7347,0.208,4.2486,28.54,4.2938,0.858075
254,1.0,3.7321,0.2178,4.3433,28.56,4.3144,0.858734
255,1.0,3.7236,0.216,4.2911,29.58,4.2909,0.859287
256,1.0,3.7414,0.2082,4.3642,29.48,4.2836,0.857997
257,1.0,3.734,0.2165,4.1848,28.86,4.3083,0.857768
258,1.0,3.7381,0.2163,4.2672,28.72,4.2767,0.855454
259,1.0,3.7499,0.217,4.3743,28.9,4.2774,0.857409
260,1.0,3.7253,0.2148,4.2295,28.87,4.2898,0.856643
261,1.0,3.7253,0.2145,4.3561,29.88,4.2712,0.855377
262,1.0,3.7501,0.213,4.2255,28.41,4.2821,0.857025
263,1.0,3.7279,0.2119,4.1658,28.73,4.3017,0.856707
264,1.0,3.7361,0.2086,4.2747,29.44,4.2831,0.855058
265,1.0,3.7443,0.218,4.2299,29.63,4.265,0.855163
266,1.0,3.739,0.2028,4.2715,29.13,4.2739,0.854465
267,1.0,3.7378,0.2202,4.251,29.68,4.282,0.854529
268,1.0,3.724,0.2119,4.2463,29.69,4.2857,0.85617
269,1.0,3.7346,0.2034,4.4189,28.62,4.2696,0.85495
270,1.0,3.7447,0.1996,4.2686,28.89,4.2692,0.854049
271,1.0,3.7237,0.2179,4.302,29.91,4.279,0.85327
272,1.0,3.7432,0.2163,4.1094,28.68,4.2585,0.852786
273,1.0,3.7261,0.1994,4.3202,29.46,4.2557,0.853571
274,1.0,3.7389,0.2154,4.2319,27.63,4.2684,0.850898
275,1.0,3.7187,0.2138,4.1048,29.86,4.2641,0.853285
276,1.0,3.7322,0.2175,4.331,29.37,4.2822,0.852131
277,1.0,3.7339,0.2104,4.4072,28.58,4.2562,0.851797
278,1.0,3.7382,0.2138,4.1922,28.82,4.2731,0.85128
279,1.0,3.7371,0.2066,4.3016,29.08,4.2431,0.850724
280,1.0,3.7386,0.2199,4.3468,28.58,4.2632,0.852137
281,1.0,3.7454,0.2113,4.1504,28.77,4.2607,0.850817
282,1.0,3.7156,0.2126,4.2417,28.59,4.2524,0.849988
283,1.0,3.7293,0.2136,4.3084,29.33,4.2701,0.851471
284,1.0,3.7204,0.2077,4.3185,28.83,4.2577,0.850382
285,1.0,3.7445,0.2124,4.3484,29.01,4.2525,0.85057
286,1.0,3.7334,0.217,4.2537,29.37,4.2452,0.849121
287,1.0,3.7387,0.215,4.36,29.67,4.2645,0.851855
288,1.0,3.7286,0.1994,4.2672,28.92,4.2413,0.849231
289,1.0,3.7185,0.2146,4.1481,29.09,4.2574,0.850536
290,1.0,3.7213,0.2155,4.1084,29.56,4.2519,0.848973
291,1.0,3.7292,0.2174,4.4051,29.33,4.2419,0.84894
292,1.0,3.72,0.216,4.3519,28.54,4.2389,0.8483
293,1.0,3.7228,0.2172,4.0886,28.88,4.2511,0.847666
294,1.0,3.7149,0.2193,4.3021,29.45,4.2387,0.846977
295,1.0,3.7153,0.2148,4.3349,29.21,4.2399,0.846389
296,1.0,3.7342,0.216,4.0037,28.6,4.2435,0.84714
297,1.0,3.7165,0.2001,4.2621,29.7,4.2371,0.846843
298,1.0,3.7535,0.215,4.2977,28.61,4.2181,0.844919
299,1.0,3.7228,0.2147,4.2098,29.01,4.224,0.844262
300,1.0,3.7316,0.2065,4.0247,28.47,4.2371,0.845945
301,1.0,3.7131,0.2126,4.2055,29.07,4.2158,0.846346
302,1.0,3.7401,0.2144,4.2999,29.43,4.2051,0.844844
303,1.0,3.7299,0.215,4.362,28.7,4.2212,0.845987
304,1.0,3.725,0.2154,4.1439,28.97,4.2284,0.8457
